ToyCar
,AUC (source),AUC (target),pAUC,precision (source),precision (target),recall (source),recall (target),F1 score (source),F1 score (target)
00,0.4628,0.5292,0.4826315789473684,0.0,0.0,0.0,0.0,0.0,0.0
01,0.4746,0.5956,0.4842105263157895,0.0,0.0,0.0,0.0,0.0,0.0
02,0.8088000000000001,0.415,0.5873684210526315,1.0,0.5495495495495496,0.61,0.61,0.7577639751552795,0.5781990521327014
arithmetic mean,0.5820666666666666,0.5132666666666666,0.5180701754385965,0.3333333333333333,0.1831831831831832,0.20333333333333334,0.20333333333333334,0.2525879917184265,0.19273301737756712
harmonic mean,0.5450385623768939,0.501818046497962,0.5137250043233189,3.3306690738754696e-16,3.330669073875469e-16,3.330669073875469e-16,3.330669073875469e-16,3.330669073875469e-16,3.330669073875469e-16

ToyTrain
,AUC (source),AUC (target),pAUC,precision (source),precision (target),recall (source),recall (target),F1 score (source),F1 score (target)
00,0.45499999999999996,0.3796,0.48789473684210527,0.0,0.0,0.0,0.0,0.0,0.0
01,0.7918000000000001,0.3822,0.5347368421052632,1.0,0.6666666666666666,0.16,0.16,0.2758620689655173,0.25806451612903225
02,0.6082000000000001,0.381,0.511578947368421,0.6666666666666666,0.6666666666666666,1.0,1.0,0.8,0.8
arithmetic mean,0.6183333333333333,0.38093333333333335,0.5114035087719299,0.5555555555555555,0.4444444444444444,0.38666666666666666,0.38666666666666666,0.35862068965517246,0.3526881720430108
harmonic mean,0.5876656762140355,0.3809303690643847,0.5106875248102705,6.661338147750936e-16,6.661338147750933e-16,6.661338147750929e-16,6.661338147750929e-16,6.661338147750932e-16,6.661338147750932e-16

bearing
,AUC (source),AUC (target),pAUC,precision (source),precision (target),recall (source),recall (target),F1 score (source),F1 score (target)
00,0.7221,0.6068,0.53,0.8433734939759037,0.7368421052631579,0.7,0.7,0.7650273224043715,0.717948717948718
01,0.5835999999999999,0.7101999999999999,0.5557894736842105,0.7719298245614035,0.6984126984126984,0.88,0.88,0.822429906542056,0.7787610619469026
02,0.35519999999999996,0.27959999999999996,0.4768421052631579,0.6666666666666666,0.6666666666666666,1.0,1.0,0.8,0.8
arithmetic mean,0.5536333333333333,0.5322,0.5208771929824562,0.7606566617346578,0.7006404901141742,0.86,0.86,0.7958190763154759,0.7655699266318736
harmonic mean,0.5072994079047702,0.4523125769511286,0.5187470766964368,0.7535475452617844,0.6994700984102952,0.8415300546448087,0.8415300546448087,0.7951122967042423,0.763952046300124

fan
,AUC (source),AUC (target),pAUC,precision (source),precision (target),recall (source),recall (target),F1 score (source),F1 score (target)
00,0.8945,0.5266,0.5257894736842105,1.0,0.6129032258064516,0.19,0.19,0.319327731092437,0.2900763358778626
01,0.6616,0.5174000000000001,0.5278947368421053,0.8148148148148148,0.6875,0.22,0.22,0.3464566929133858,0.3333333333333333
02,0.6808000000000001,0.5831999999999999,0.6505263157894736,0.8524590163934426,0.6753246753246753,0.52,0.52,0.6459627329192545,0.5875706214689266
arithmetic mean,0.7456333333333333,0.5424,0.5680701754385965,0.8890912770694192,0.6585759670437089,0.31,0.31,0.43724905230835914,0.4036600968933741
harmonic mean,0.7320125389984441,0.5408920891580759,0.5624891953664237,0.882262210796915,0.656901658170975,0.2557176470588235,0.2557176470588235,0.3965096835000456,0.3681301620815997

gearbox
,AUC (source),AUC (target),pAUC,precision (source),precision (target),recall (source),recall (target),F1 score (source),F1 score (target)
00,0.6476,0.6546000000000001,0.6152631578947368,0.88,0.8301886792452831,0.44,0.44,0.5866666666666667,0.5751633986928104
01,0.7074000000000001,0.6361999999999999,0.5868421052631579,0.896551724137931,0.9285714285714286,0.26,0.26,0.40310077519379844,0.40625
02,0.9226,0.5616,0.5526315789473684,0.9210526315789473,0.6796116504854369,0.7,0.7,0.7954545454545453,0.6896551724137931
arithmetic mean,0.7592,0.6174666666666666,0.5849122807017544,0.8992014519056261,0.8127905861007162,0.4666666666666666,0.4666666666666666,0.5950739957716702,0.5570228570355346
harmonic mean,0.7422648989913123,0.6147402401009734,0.5837847400718302,0.8988864942528737,0.7993824284934715,0.3974851091992058,0.3974851091992058,0.5512215716147507,0.5309570221850923

slider
,AUC (source),AUC (target),pAUC,precision (source),precision (target),recall (source),recall (target),F1 score (source),F1 score (target)
00,0.8012,0.7536,0.6842105263157895,0.7383177570093458,0.7314814814814815,0.79,0.79,0.7632850241545893,0.7596153846153846
01,0.5865,0.3814,0.49157894736842106,0.7142857142857143,0.5555555555555556,0.1,0.1,0.1754385964912281,0.16949152542372883
02,0.8262,0.32659999999999995,0.5094736842105263,0.9629629629629629,0.5098039215686274,0.26,0.26,0.40944881889763773,0.3443708609271523
arithmetic mean,0.7379666666666668,0.4872,0.5617543859649122,0.805188811419341,0.5989469862018882,0.3833333333333333,0.3833333333333333,0.4493908131811517,0.4244925903220886
harmonic mean,0.7205444433015908,0.42791534213735966,0.5495905016789301,0.7909532000102687,0.5849518710485846,0.1985180412371134,0.1985180412371134,0.3173785622679021,0.2964338459910233

valve
,AUC (source),AUC (target),pAUC,precision (source),precision (target),recall (source),recall (target),F1 score (source),F1 score (target)
00,0.8332,0.674,0.651578947368421,1.0,0.9333333333333333,0.14,0.14,0.24561403508771928,0.24347826086956526
01,0.6027999999999999,0.656,0.5573684210526316,0.7916666666666666,0.9047619047619048,0.19,0.19,0.3064516129032258,0.3140495867768595
02,0.7756,0.7900000000000001,0.8578947368421053,1.0,1.0,0.72,0.72,0.8372093023255813,0.8372093023255813
